model,mae,rmse,mape,r2
y_pred_6,26447.230901658728,172448.2072387406,364844348198951.44,-8.169414074237377
y_pred_12,35877.836614488355,261237.04973381205,596908707461393.0,-20.042326663074224
y_pred_36,32830.56262972125,251653.60361799196,509296501590516.44,-18.526775132194683
y_pred_72,25749.140059538247,179608.63775285348,267902613660573.66,-8.946691661027906
y_pred_144,26931.648953611882,202673.1048184131,56041777950727.37,-11.665328506751091
ensemble_simple,25460.25168978846,173980.48584115953,357235350922343.44,-8.333086609568005
ensemble_min_max,22340.669110979372,157224.69117589554,206034465949619.9,-6.621943378376614
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
