model,mae,rmse,mape,r2
y_pred_6,135371.6571066352,1331899.9762761134,1.14774073188136e+16,-545.9749532587426
y_pred_12,646927.5032493783,7359428.740764802,8.535914893206987e+16,-16698.844470667642
y_pred_36,103576.56251715143,873149.7018373079,4.252708362474122e+16,-234.0723979561122
y_pred_72,54842.85097791796,282866.31916818576,5.544453608747589e+16,-23.670996736850107
y_pred_144,62426.000397610085,354783.4848810286,7.071068045030014e+16,-37.81065819391296
ensemble_simple,171075.7700953828,1809258.86896842,1.8960111709852216e+16,-1008.3124675013122
ensemble_min_max,75183.38705717033,558004.1586659404,4.1094043884556856e+16,-95.0061576515275
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
