model,mae,rmse,mape,r2
y_pred_6,49334.375625154746,292928.70157967194,229744764763810.0,-25.45745527316222
y_pred_12,71713.25117099505,549183.6575072113,317032062776076.94,-91.99496337090034
y_pred_36,62094.45715825814,431466.85875372804,1038903100139323.9,-56.40095305639878
y_pred_72,105863.93045774371,995464.9594103008,891182875339594.0,-304.54569719965633
y_pred_144,128716.93484340496,1237625.3679591278,660402364016547.6,-471.2833365576651
ensemble_simple,70149.97313920312,528926.4377770121,182568660487945.34,-85.26105551891114
ensemble_min_max,76030.66042534121,620407.1159304214,350105311877763.4,-117.68006030837628
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
