model,mae,rmse,mape,r2
y_pred_6,147310.06344838216,1453171.9255745767,1.3822516115153658e+16,-650.1157719799141
y_pred_12,654660.6884030574,7516279.552038539,8.147099475879106e+16,-17418.27463038207
y_pred_36,103954.171562667,873045.0200806435,4.410426405654398e+16,-234.01603576209718
y_pred_72,55054.17363627386,282888.5955172832,5.632361689780837e+16,-23.674882681121016
y_pred_144,62048.982278354306,354740.48962669173,6.912485835729086e+16,-37.80125204576866
ensemble_simple,175825.6867333044,1864651.5853721874,2.038085213360115e+16,-1071.0612707583082
ensemble_min_max,79480.0506960543,614270.2508008563,4.147368723622226e+16,-115.3437835780538
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
