model,mae,rmse,mape,r2
y_pred_6,19623.101483782317,131357.69325816238,343552444715056.56,-4.320289246280524
y_pred_12,24704.654516909617,176583.9969605098,432611886022298.5,-8.6145044124637
y_pred_36,27648.86707095738,209806.86893382872,499203260329038.6,-12.572617893005146
y_pred_72,22176.85496905524,160898.96164355052,279271714474705.62,-6.9823487872434296
y_pred_144,23845.50351388206,174876.94877726716,74235560000844.34,-8.42951491588942
ensemble_simple,22379.54728834919,149204.36060085706,324650040203931.2,-5.864157646533266
ensemble_min_max,21491.322028554176,139002.5180971172,206081670096808.03,-4.957575475152557
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
