model,mae,rmse,mape,r2
y_pred_6,54619.560487785275,294501.8174552062,818760250406577.6,-25.742387411409467
y_pred_12,74584.85330637472,438780.7486688782,805411910223831.6,-58.36347930770399
y_pred_36,47600.37135802295,380906.88126366,693938097935108.0,-43.73648462449955
y_pred_72,52708.35488036031,353658.8087388901,654702133889164.6,-37.564985900319314
y_pred_144,60472.249285478836,419179.3043568679,457162177368067.6,-53.17811399768032
ensemble_simple,42120.37264326494,301729.2920228017,685994913964548.9,-27.071082782527807
ensemble_min_max,48251.04431184504,286967.54331655893,637961213887321.6,-24.391582997229538
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
