model,mae,rmse,mape,r2
y_pred_6,48706.57019448995,293244.7214940144,411153006245152.0,-25.514572194736576
y_pred_12,69175.09252658697,534398.4729748968,227958622350870.4,-87.05512429586706
y_pred_36,57074.4274632116,376856.80019109795,1259028902965621.5,-42.790200137314805
y_pred_72,96739.7823624684,1022810.9812070583,4097322870570730.0,-321.56332090254926
y_pred_144,115112.98200387934,1264097.9132972672,8846777719101112.0,-491.70349880381707
ensemble_simple,65757.91775384021,516835.8501241737,2877264792036922.5,-81.36249209732249
ensemble_min_max,71518.4242564899,627535.8270693942,4628965324894419.0,-120.42308656075832
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
