model,mae,rmse,mape,r2
y_pred_6,134715.16671556234,780873.1459525597,902012165334430.2,-187.01183712439953
y_pred_12,147867.94765341436,1317297.7842335692,1182583389113978.8,-534.0472547656518
y_pred_36,81511.78397401521,534895.1416455441,590471105321697.0,-87.21887680258706
y_pred_72,42020.64124129463,266418.35606016783,920992348409959.4,-20.885300078147743
y_pred_144,49220.90127708946,307891.40799452184,313031029339451.2,-28.22936340354364
ensemble_simple,58776.76777322379,424536.3415615084,755089829535834.2,-54.571735963098945
ensemble_min_max,63733.76961578561,367807.78679271514,583478256209482.5,-40.71248430138114
naive_forecast,221.267173784654,1963.8535672708401,120256331839.07298,0.998810834170448
