mape,rmse,mae,r2,model
2041326501229709.8,1.4657157881829432,0.7987429566584119,-0.5989506014940529,y_pred_1
2179918009484051.5,1.5730288615460857,0.8395410755061921,-0.8416576309839015,y_pred_2
2285634844908814.5,1.671677726788486,0.8702373984255136,-1.0798912451713147,y_pred_3
2400838811126060.0,1.9558435334975377,0.904485736820019,-1.8471066244400416,y_pred_4
2689163546700073.0,2.372334118913642,0.990928673839508,-3.188776849922382,y_pred_5
2865885769326877.5,2.516440298888002,1.0439759890122902,-3.7131230425014845,y_pred_6
3.296124449474856e+24,192979510819.71793,731886651.5962836,-2.7717746416731564e+22,y_pred_7
1.8402049587280984e+24,107739212474.33034,408607583.490518,-8.639390574253616e+21,y_pred_8
2.106706076165594e+24,123342159515.62767,467782718.8551364,-1.1322924478784892e+22,y_pred_9
2082608849600022.2,1.496308441491128,0.8107047231802449,-0.6663942826673961,ensemble_preds_2
2122199589414553.5,1.531368372504396,0.8219435908588698,-0.7453995572944965,ensemble_preds_3
2156752830338399.5,1.5625320247389605,0.8329455923333583,-0.8171608398960974,ensemble_preds_4
2231226347445799.8,1.6419481223094567,0.8554701309940927,-1.0065702897176827,ensemble_preds_5
2304188724585826.0,1.723027478918321,0.8773288729886256,-1.209631854343907,ensemble_preds_6
4.708749232935541e+23,27568501545.6821,104555236.68357503,-5.6566829421934445e+20,ensemble_preds_7
6.420411776712036e+23,37589840411.76314,142561780.01886714,-1.0516627190402663e+21,ensemble_preds_8
8.04781721896821e+23,47117875867.74808,178697439.87316293,-1.652368557095809e+21,ensemble_preds_9
