mape,rmse,mae,r2,model
1359394681092542.0,1.5152748709067316,0.6358931104939941,-0.7089067171792178,y_pred_1
1518680241862200.0,1.9800028334129667,0.6709386539773042,-1.9178780587964557,y_pred_2
1825060916577443.2,6.231778318627585,0.7626376801462673,-27.90410369530003,y_pred_3
2599352131686989.5,28.018812835270914,1.0124369566006044,-583.2987741295066,y_pred_4
6697233348634104.0,144.80607572687805,2.0492728363985213,-15605.62816693596,y_pred_5
2.3077370679529144e+16,777.0007589336177,6.535722207448896,-449342.43487334886,y_pred_6
1.3751414718425347e+17,17064538541.173363,91525938.37461424,-2.1673278516578615e+20,y_pred_7
6.932742349437445e+17,892915.5520728998,3921.613748217667,-593411951996.2357,y_pred_8
1.239457723920818e+25,725670174928.4231,2752182149.1202216,-3.919350133097769e+23,y_pred_9
1413357331532683.5,1.5794921375570012,0.6406402003837762,-0.8568227633589756,ensemble_preds_2
1530198498022945.2,2.5631213595061126,0.6703358508613347,-3.889605875260865,ensemble_preds_3
1769865583054430.8,7.58243474470363,0.743871128417333,-41.79104353473137,ensemble_preds_4
2723203742119437.5,30.67980369959567,0.9919855917453683,-699.5524687269286,ensemble_preds_5
6080575592072088.0,136.47511743093776,1.9018190362966214,-13861.529015152015,ensemble_preds_6
2.4812923010176492e+16,2437791220.1587887,13075135.666950151,-4.423118064575822e+18,ensemble_preds_7
1.0831681570343787e+17,2133067320.6362844,11441233.889548283,-3.386449777708009e+18,ensemble_preds_8
1.377175345034291e+24,80652309807.3754,315968002.2280953,-4.841379581439098e+21,ensemble_preds_9
