model,mae,rmse,mape,r2
y_pred_3,1.2745454643947418e+20,1.3621981958795143e+22,1.416116638919241e+17,-3.749092683960929e+37
y_pred_12,1.789184484289011e+17,1.3894509423239436e+19,564551033845937.8,-3.900605338608611e+31
y_pred_24,2.9384538478201605e+21,2.3961280199283408e+23,1.4756885314159546e+19,-1.16002035802094e+40
y_pred_30,3.9520838066184035e+20,4.1963903048497345e+22,4.3715228351845395e+17,-3.557929394885137e+38
ensemble_simple,8.65323923342476e+20,6.649650084615086e+22,3.83405345315094e+18,-8.933942660715602e+38
ensemble_min_max,2.613314635506572e+20,2.7792838746267097e+22,2.893819737051891e+17,-1.5606711090798731e+38
naive_forecast,500.86694666655126,1098.7113862164038,0.13757606423001867,0.7586227693066239
