model,mae,rmse,mape,r2
y_pred_3,3.3454945930222484e+18,3.5752638680869634e+20,3716916409401458.5,-2.582627525184791e+34
y_pred_12,2.5025445818073838e+19,2.6744895331768347e+21,2.780418898525604e+16,-1.4451980959520225e+36
y_pred_24,2.487695098328417e+20,2.658626957067379e+22,2.7646053685786e+17,-1.4281058015578654e+38
y_pred_30,1.2719528956996936e+20,1.3592778753351487e+22,1.413600106506816e+17,-3.7330350845506196e+37
ensemble_simple,1.0108393495347677e+20,1.0802766058055348e+22,1.1233541322579974e+17,-2.3578464437744394e+37
ensemble_min_max,6.52703920814958e+19,6.975152569308806e+21,7.25384635300415e+16,-9.829988245333675e+36
naive_forecast,500.86694666655126,1098.7113862164038,0.13757606423001867,0.7586227693066239
