model,mae,rmse,mape,r2
y_pred_3,282055263319.57904,18148662203859.168,141593985.0241104,-6.654796969359231e+19
y_pred_12,369411973933.6974,26819919256043.477,272302024.7415109,-1.453317515044158e+20
y_pred_24,70681811245985.36,7512525952744517.0,78236720840.11353,-1.1402958563930881e+25
y_pred_30,1195124110669606.2,1.2756514570964654e+17,1326807234741.7886,-3.2878321238806054e+27
ensemble_simple,316614347288016.06,3.3775644632747684e+16,351364462897.8697,-2.3049041440267073e+26
ensemble_min_max,597703082966270.2,6.378463346860472e+16,663474414363.361,-8.22011141571692e+26
naive_forecast,500.86694666655126,1098.7113862164038,0.13757606423001867,0.7586227693066239
