model,mae,rmse,mape,r2
y_pred_3,628072567.8179656,40453886897.25154,557633.3263396708,-330648142551105.9
y_pred_12,321073713.7469404,22122161439.44535,179882.62474938022,-98878231500289.28
y_pred_24,198115068.4294738,12941829928.829082,163137.81732351624,-33840514109991.555
y_pred_30,140294941.6353302,9518506307.863558,95700.75420364171,-18305566759026.137
ensemble_simple,321889067.0110918,21175836092.274693,249088.62928193266,-90599689439806.62
ensemble_min_max,384183747.3284145,24891724739.234047,326667.03858886764,-125185940100386.28
naive_forecast,500.86694666655126,1098.7113862164038,0.13757606423001867,0.7586227693066239
