model,mae,rmse,mape,r2
y_pred_3,2683920996.152249,181703597914.38498,2239420.9975405703,-6670718732937270.0
y_pred_12,68055259113.52735,6723056359156.562,23558289.230985202,-9.13227707149739e+18
y_pred_24,18032050312.756676,1803891248617.8076,19177953.703653038,-6.57455372774366e+17
y_pred_30,70567108623.8136,7088013996528.866,74937840.60972284,-1.0150669987353362e+19
ensemble_simple,39834584621.27996,2919121681493.278,29978376.101246424,-1.7216702410193554e+18
ensemble_min_max,36625514660.84642,3620876559544.0376,38588630.76839112,-2.648945446412188e+18
naive_forecast,500.86694666655126,1098.7113862164038,0.13757606423001867,0.7586227693066239
