model,mae,rmse,mape,r2
y_pred_3,326632854294240.3,1.738492541693148e+16,193196890260.44196,-6.106484221250311e+25
y_pred_12,621624559271018.4,3.775274298554458e+16,521910973218.78394,-2.8796691809221642e+26
y_pred_24,2073676820543637.8,1.3622443067746195e+17,1539248722993.4985,-3.749346504507655e+27
y_pred_30,2051605382231700.8,1.3492836352528394e+17,1664819173670.8752,-3.6783417935940544e+27
ensemble_simple,1268384904085116.0,8.08475066367927e+16,979793940035.894,-1.3206229397421365e+27
ensemble_min_max,1189119118262931.0,7.521945010966702e+16,929008031965.6525,-1.143157010218625e+27
naive_forecast,500.86694666655126,1098.7113862164038,0.13757606423001867,0.7586227693066239
