model,mae,rmse,mape,r2
y_pred_3,7.158484406218064e+18,7.649045208560274e+20,7952412216480497.0,-1.18211582441485e+35
y_pred_12,1.037430450417338e+24,1.1088174999958233e+26,1.1526883414859589e+21,-2.4840808038085308e+45
y_pred_24,5.059076155486959e+19,5.402225457565501e+21,5.644436152465814e+16,-5.896454964429056e+36
y_pred_30,3.803401559881186e+19,4.0634643042353944e+21,4.232982523876977e+16,-3.3360954937946e+36
ensemble_simple,2.5938155295531485e+23,2.7722994563879467e+25,2.8819876094972546e+20,-1.5528369447625803e+44
ensemble_min_max,2.259625079100291e+19,2.414184474328304e+21,2.5141119603656132e+16,-1.1775693163017145e+36
naive_forecast,500.86694666655126,1098.7113862164038,0.13757606423001867,0.7586227693066239
