model,mae,rmse,mape,r2
y_pred_6,68438.10721751538,594220.4267279124,473549910311.6147,0.9249364352215389
y_pred_12,68047.58834094129,584866.8697700077,473549910311.60956,0.9272809705808992
y_pred_48,68890.20184624683,621929.7714276643,141260548653180.94,0.9177725684321503
y_pred_60,68163.23882363574,682384.4818176024,9689024765815.178,0.901009774095437
ensemble_simple,64741.37019139674,611490.812607844,37244570591947.984,0.9205097424429275
ensemble_min_max,64878.401720920905,629260.2582486257,4706741882911.058,0.9158227681730751
naive_forecast,22234.9803171906,216570.06930593945,0.057610425818809985,0.9900291793946093
