model,mae,rmse,mape,r2
y_pred_6,61910.848682423464,685365.2313006918,427895542446.98315,0.9001430793946815
y_pred_12,63496.43566437643,698619.3822164432,354662406603.22003,0.896243505048697
y_pred_48,67258.51683703646,728844.1881699994,243590781981.54248,0.8870715358745209
y_pred_60,66238.65695054847,721380.947872466,174961541233.46658,0.889372431321919
ensemble_simple,64630.54928578548,708254.6334419714,190971117102.81726,0.8933617817172578
ensemble_min_max,63994.62971794785,703097.8043417821,220796483554.95663,0.8949090023495934
naive_forecast,22234.9803171906,216570.06930593945,0.057610425818809985,0.9900291793946093
