model,mae,rmse,mape,r2
y_pred_6,71748.66868670896,680527.0559771939,2488285602247.518,0.9015479362863249
y_pred_12,67045.25015747092,728027.1066276291,1856319844850.6719,0.887324594192966
y_pred_48,69083.05873473897,714472.8541892156,14426570072540.697,0.8914810714768858
y_pred_60,61066.849087764895,664624.9317081348,15222337742894.596,0.9060953087977905
ensemble_simple,65035.399046929786,691313.9288738186,6326075592084.561,0.898402119927566
ensemble_min_max,62731.43193679044,667341.2385283856,6367026070323.758,0.9053261676426394
naive_forecast,22234.9803171906,216570.06930593945,0.057610425818809985,0.9900291793946093
