model,mae,rmse,mape,r2
y_pred_6,71383.09076069137,554937.95157328,273357331421.63885,0.9345329329259471
y_pred_12,62781.49442062633,610309.0330786239,349239147302.033,0.92081669450855
y_pred_48,74069.66871511347,779349.0220610973,16429890434967.219,0.870878661006121
y_pred_60,66220.0897074476,690814.4842228399,29802564869891.367,0.8985488671171956
ensemble_simple,61940.38860103117,621700.7563134965,11512036748841.584,0.9178331150029526
ensemble_min_max,60318.03689064746,569509.9449002342,14869634796229.389,0.9310496212821087
naive_forecast,22234.9803171906,216570.06930593945,0.057610425818809985,0.9900291793946093
