model,mae,rmse,mape,r2
y_pred_6,65512.54456500258,473610.6133723697,614069357800.0475,0.9523155383621191
y_pred_12,74117.79715090965,634833.0364518523,858887359366.5795,0.9143252058071991
y_pred_48,78956.23711657943,828186.1364009369,23924574602503.543,0.8541891156415674
y_pred_60,75279.6454993498,584890.398006922,19134601865610.277,0.9272751197281491
ensemble_simple,61597.83315077879,562110.8306018263,10808476881540.32,0.9328295994672369
ensemble_min_max,60119.57327266387,500306.4536528606,9561025161574.229,0.9467884093312348
naive_forecast,22234.9803171906,216570.06930593945,0.057610425818809985,0.9900291793946093
