model,mae,rmse,mape,r2
y_pred_3,41.507691791038724,131.5105776766455,0.38399289722797453,0.9758777576772094
y_pred_12,47.30012480175618,159.88553303213095,0.3444800111354858,0.9643454759671154
y_pred_24,48.37747919868534,162.75935429345338,0.35226235225946906,0.9630522308537315
y_pred_30,48.43703540687397,165.54175059503976,0.3557007484006356,0.9617781774375028
ensemble_simple,45.21349432746203,151.20299952299,0.34985695998171457,0.9681127462116759
ensemble_min_max,43.4951369289033,143.11499150256523,0.35930808631003386,0.9714328731517841
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
