model,mae,rmse,mape,r2
y_pred_3,46.64189359781548,130.27919891548,0.4462814144817663,0.976327372526461
y_pred_12,49.28773175390891,163.64858176562885,0.3766736598118904,0.9626474034662329
y_pred_24,52.41742038740131,175.9367414352474,0.36715827673869816,0.9568272818096315
y_pred_30,53.07834531023837,178.0011608665931,0.37023737426451603,0.9558081712166904
ensemble_simple,46.27502303846194,146.98908420211342,0.3803956395750334,0.9698653276951896
ensemble_min_max,43.57791450647148,130.7856704678849,0.39539092451892305,0.9761429560176927
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
