model,mae,rmse,mape,r2
y_pred_3,34.92396566756553,105.8078873423373,0.30443592548875953,0.984385345079788
y_pred_12,52.1377318718412,190.22023267635896,0.28505081118308867,0.9495327404971731
y_pred_24,48.02451632332918,168.48397532120683,0.29800277933219615,0.9604074469814737
y_pred_30,48.04387908192053,168.4687127436621,0.2978093764284737,0.9604146198540169
ensemble_simple,42.587189794430884,147.74278021729668,0.27629743767998727,0.9695555004428882
ensemble_min_max,37.33326726910889,122.53300355096674,0.27771493126760916,0.979058756665439
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
