model,mae,rmse,mape,r2
y_pred_3,54.36529016690388,192.64132241697683,0.5090387810409881,0.9482398880810877
y_pred_12,55.453471710267955,195.30808328909933,0.41958068628274237,0.9467969241672544
y_pred_24,51.9357826040086,177.2341466774639,0.40836288169444074,0.9561881994193953
y_pred_30,52.71609831272066,178.99533137926048,0.4022276177238553,0.9553131530566706
ensemble_simple,47.27334135343325,159.08480792295418,0.39238523999794667,0.9647017056095367
ensemble_min_max,48.252691144388244,155.38227128522539,0.4226347153662751,0.9663256488901883
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
