model,mae,rmse,mape,r2
y_pred_3,27.69387225996533,86.37180130102587,0.24902572908819523,0.9895950437381499
y_pred_12,27.809453558941915,87.12013723730735,0.25031555406887546,0.9894139630209515
y_pred_24,27.828378287839104,87.05323985593414,0.24908618746054378,0.9894302142868309
y_pred_30,27.836854635653502,87.0472836716419,0.24912522790503952,0.9894316606072212
ensemble_simple,27.77454052007012,86.78950153270983,0.24935913655892863,0.9894941621603964
ensemble_min_max,27.746437564124456,86.58580325299556,0.24904263032032797,0.9895434194945545
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
