model,mae,rmse,mape,r2
y_pred_3,40.36644507090166,125.70563048484478,0.34265858526964954,0.9779602955582163
y_pred_12,52.0322028924025,182.7424319468395,0.3056758698747277,0.9534226146563346
y_pred_24,49.36951348739537,171.90840308343965,0.3192640741388993,0.9587816581281017
y_pred_30,49.222955389020605,171.24103219558646,0.3186310046715135,0.9591010669091206
ensemble_simple,42.35808638974204,140.95631995622878,0.29057838770374006,0.972288156956165
ensemble_min_max,38.02192716074038,118.76700924346417,0.2965944651601917,0.98032621388386
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
