model,mae,rmse,mape,r2
y_pred_3,62.77174052872084,218.38848190379716,0.5761462570566441,0.9334794603599841
y_pred_12,55.498926776817655,170.39196262281027,0.5041134991607992,0.9595056422333599
y_pred_24,67.83295631498312,253.63791604902255,0.5266857605442752,0.9102726880207039
y_pred_30,62.42497397328505,199.13130051058147,0.5517728110150197,0.9446936032036872
ensemble_simple,49.01400128908742,158.35069238299707,0.449755396365579,0.9650267301977522
ensemble_min_max,55.92136028566131,190.7567046352713,0.5049934814111725,0.9492476767315834
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
