model,mae,rmse,mape,r2
y_pred_3,40.44166929220609,116.72476754049703,0.4153669785635585,0.9809969924730408
y_pred_12,47.82316533457506,162.07845909747564,0.34063748404584204,0.9633607223190793
y_pred_24,50.59424588022488,174.01747382496677,0.3462032752138219,0.957764073582899
y_pred_30,50.69387333823165,175.56226829705204,0.35054606623511425,0.9570108684528352
ensemble_simple,45.94981177415853,152.7602241540989,0.35154660462667675,0.9674525567140885
ensemble_min_max,43.860773751654726,139.77747581353054,0.3704676316425183,0.9727497373917884
naive_forecast,20.77618426770969,66.63564195527668,0.22490878779210655,0.993806880259194
