model,mae,rmse,mape,r2
y_pred_3,486.6079224057383,3635.4820965032304,32294739918516.58,0.839880128365362
y_pred_30,514.1031364594261,3737.518789577504,127458118625831.98,0.8307658587009668
y_pred_60,369.0447966975168,2074.3776961075987,219970050168708.34,0.9478689009234961
y_pred_120,705.4790403996632,4868.194031877603,292860319477969.0,0.712884279600094
ensemble_simple,511.3085655192339,3072.636885248882,168145805783003.16,0.88562168555363
ensemble_min_max,588.2030377340106,3654.749157564294,162577529310095.1,0.8381784479861136
naive_forecast,16.70891514500537,92.79242684106704,0.011937335267949671,0.9998956851160774
