model,mae,rmse,mape,r2
y_pred_3,420.58639593458844,4818.7371074215425,8154185387629.47,0.7186883748507246
y_pred_30,581.3312174906773,6436.05349781694,13961962912592.615,0.49816551294814737
y_pred_60,483.63664980547355,5064.1412250286385,70631216026980.9,0.6893060262485549
y_pred_120,494.5715177864974,5109.868704487538,106179837657837.38,0.6836697712525344
ensemble_simple,458.563898526719,4975.111135478059,49501567070656.62,0.7001343041810733
ensemble_min_max,419.680571813901,4307.6353718061155,57167011522733.41,0.7751985636702217
naive_forecast,16.70891514500537,92.79242684106704,0.011937335267949671,0.9998956851160774
