model,mae,rmse,mape,r2
y_pred_3,479.36918309574395,5328.693821665497,41231565288391.62,0.6559965905209494
y_pred_30,488.4669219053287,3051.5277932968756,127521132877701.53,0.8871878509522446
y_pred_60,503.11340166298334,3218.064319880904,226934852105632.56,0.8745384487213407
y_pred_120,983.1523127216273,7420.70130287999,328787573432595.0,0.33286901138525726
ensemble_simple,609.4600465008226,4031.414437328759,181118783508170.4,0.8031043568293951
ensemble_min_max,727.9355099909585,5157.370182552043,185009569028378.5,0.6777612064498413
naive_forecast,16.70891514500537,92.79242684106704,0.011937335267949671,0.9998956851160774
