Series,1,2,3,4,5
T1,0.0,0.0,0.0,0.0,0.0
T10,0.0,0.0,0.0,0.0,0.0
T2,0.0,0.0,0.0,0.0,0.0
T3,0.0,0.0,0.0,0.0,0.0
T4,0.0,0.0,0.0,0.0,0.0
T5,0.75,0.75,0.75,0.75,0.75
T6,0.75,0.75,0.75,0.75,0.75
T7,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0
T9,0.0,0.0,0.0,0.0,0.0
