model,mae,rmse,mape,r2
y_pred_3,4819.602266677829,30434.47693210759,0.5718718926450479,0.3206648617945793
y_pred_12,39421.55661098798,408948.8919152009,3.0938380663455938,-121.6564712617803
y_pred_24,91791.58231516487,1508557.0210640146,8.83873764806323,-1668.0750131265895
y_pred_30,95114.35316165852,1583529.965808743,9.184640564599864,-1838.098401467068
ensemble_simple,57757.625179378636,853935.8499061379,5.4135192984138785,-533.814148023209
ensemble_min_max,49936.41453110698,794459.202412716,4.867947686534372,-461.9089680322374
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
