model,mae,rmse,mape,r2
y_pred_3,4281.558481582642,25129.233314943765,0.5489155425623058,0.5368615137208823
y_pred_12,23227.591242301387,248363.54319578497,1.7818434017143887,-44.2405721281694
y_pred_24,41785.932391708535,467960.7800783833,4.296133282048171,-159.60952851120877
y_pred_30,41932.5296177306,470276.78789532726,4.318132563670699,-161.20322359921153
ensemble_simple,27788.201809995986,282875.6838787163,2.729851090237407,-57.68723228479689
ensemble_min_max,23079.30409010648,240162.20052299203,2.4246886834104653,-41.30207813401841
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
