model,mae,rmse,mape,r2
y_pred_3,5698.064591865211,49370.52539964699,0.6762764287833724,-0.7876722252644242
y_pred_12,43561.07729324327,556832.3721980489,3.276874913013517,-226.40569983860632
y_pred_24,47399.31850397106,505619.93219152547,5.15562498917635,-186.49978185200138
y_pred_30,51254.010421614264,585922.8346419398,5.076031067105438,-250.78696448870357
ensemble_simple,36895.06105975152,407748.0238217004,3.5277162750767848,-120.93717365371623
ensemble_min_max,28370.73507484907,297300.1289512982,2.8545616026044556,-63.82500960798289
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
