model,mae,rmse,mape,r2
y_pred_3,6553.03082185713,37256.23228466927,0.7718891959679645,-0.018005817879299002
y_pred_12,35779.091594069614,419582.25045418,2.8725136327524137,-128.11794657722248
y_pred_24,42863.91585187144,484737.4751696482,4.368295470122055,-171.33186479490854
y_pred_30,44588.159986920175,497898.79182528576,4.804590332189165,-180.8170217515497
ensemble_simple,32431.052455746078,353600.9919362428,3.2008039716646066,-90.70211324205508
ensemble_min_max,25550.78387290319,261668.826852958,2.7840816433947664,-49.21764812980116
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
