model,mae,rmse,mape,r2
y_pred_3,16985.663688084693,132837.72599409055,3.0207577193861925,-11.941817149890085
y_pred_12,53043.66497763716,526226.7592211057,21.058261941686396,-202.09454188354746
y_pred_24,56632.00502756716,589791.2868857741,24.812341283207147,-254.12269816200572
y_pred_30,57743.539145367366,621319.1315391901,26.58457098478077,-282.1273654099007
ensemble_simple,46092.75281044498,460864.8056961002,18.867579650787984,-154.77561802716946
ensemble_min_max,37350.45118984855,364906.1472686857,14.800726247277534,-96.65955789523022
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
