model,mae,rmse,mape,r2
y_pred_3,6766.643173895406,40323.31467539357,0.8276229709608298,-0.19251772969528425
y_pred_12,54518.00685169211,607316.231467676,10.289310479557832,-269.50928195648095
y_pred_24,91401.90925900443,952699.4101475998,27.53509457278161,-664.6779741431238
y_pred_30,96889.05045161567,1059366.0661738964,41.224008863568294,-822.0846633336196
ensemble_simple,62358.63507553512,614016.2655432036,19.96367284669278,-275.51083044166995
ensemble_min_max,51789.6871251832,536100.4752361362,21.019948772784907,-209.7874641148189
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
