model,mae,rmse,mape,r2
y_pred_3,19719.466964734267,187529.95766598193,1.619670515269291,-24.792515833734083
y_pred_12,63095.01040999036,783457.1071588802,7.493161045296884,-449.17652445118426
y_pred_24,245868.55959152392,4743620.308985325,25.686607600911998,-16502.35471032442
y_pred_30,83644.73560825667,963718.0029632801,11.52294011455187,-680.1650218902654
ensemble_simple,102896.1104936386,1468705.7518590381,11.54034908309016,-1581.0564877585996
ensemble_min_max,51529.32977948975,558207.2684464622,6.540894901451367,-227.53007858773717
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
