model,mae,rmse,mape,r2
y_pred_3,2463.1391204993693,12654.059780498801,0.42712565995711643,0.8825610503591802
y_pred_12,2392.270259846167,13049.854867542343,0.41817428059986617,0.8750996204420154
y_pred_24,2389.9626469315476,13035.356950088775,0.4177599646847075,0.8753769859065326
y_pred_30,2378.6454249769236,12957.966790700388,0.4152601963152528,0.8768523525206086
ensemble_simple,2391.4367879568604,12827.259212429579,0.41783689910316035,0.8793242138602603
ensemble_min_max,2403.1470969850197,12683.71236067914,0.4184432220899095,0.8820100101251993
naive_forecast,1468.6671231092441,24237.66396452727,0.15637091235269987,0.7549210267411384
