model,mae,rmse,mape,r2
y_pred_3,0.22016713750096378,0.3026799243236913,16539617189556.531,-0.10395296249404073
y_pred_12,0.21713986286529455,0.3002380215929148,18032065815177.164,-0.08621229699821997
y_pred_24,0.21282782685243737,0.2950370675845455,18370334857860.61,-0.04890583553426886
naive_forecast,271.4224059581173,890.9576766419867,4.69262666704837e+16,-9609371.065213319
