model,mae,rmse,mape,r2
y_pred_6,1.3764528562632117,2.149915191630159,0.1457758759878578,0.6823380942604177
y_pred_12,1.685887374111047,2.497850042185849,0.1811893805628287,0.5711995779645569
y_pred_24,1.9876311712773513,2.902518986704988,0.2121802746175737,0.421007925851441
y_pred_36,2.1518607277035104,3.106305202417463,0.22802913207143893,0.3368515970275713
ensemble_simple,1.7026095013131008,2.5364119412701958,0.18291369160780174,0.5578577079148599
ensemble_min_max,1.62574910625298,2.4523017635756315,0.17451947153351977,0.5866953409877633
naive_forecast,0.7601953286929621,1.220305901377113,0.07825446432058461,0.8976565853279824
