model,mae,rmse,mape,r2
y_pred_6,1.7567292080742385,2.852060766559599,0.18187763613780858,0.4409636742901095
y_pred_12,1.7204497885148753,2.791102634157122,0.17904528915212697,0.4646052684918789
y_pred_24,1.6897451362372913,2.7559965175676644,0.1845466263368781,0.4779888146034479
y_pred_36,1.9571390754391604,2.9928035543698535,0.21286745254859787,0.3844279365887727
ensemble_simple,1.5821334869223518,2.662328339438213,0.17055837550932457,0.5128690649141137
ensemble_min_max,1.6229722741305954,2.688219510367852,0.17492073103913505,0.5033482872313166
naive_forecast,0.7601953286929621,1.220305901377113,0.07825446432058461,0.8976565853279824
