model,mae,rmse,mape,r2
y_pred_6,2.2511351019745627,3.221206793078973,0.2377191000052072,0.28688480150171636
y_pred_12,2.474622555085909,3.439644495113475,0.2599920317021591,0.18688944876595848
y_pred_24,2.4955027799235774,3.653472807032696,0.26108673015397976,0.08265174652710972
y_pred_36,2.3019842469835226,3.3077739517641547,0.2457455086282822,0.2480410621646686
ensemble_simple,2.183757471577665,3.054872467281705,0.23093479503122988,0.35862999014759156
ensemble_min_max,2.1378548637775507,3.01091601898316,0.22803930331705272,0.3769544987140395
naive_forecast,0.7601953286929621,1.220305901377113,0.07825446432058461,0.8976565853279824
