model,mae,rmse,mape,r2
y_pred_6,2.0208426344940635,2.899794940721271,0.2120745746592477,0.42209419672935977
y_pred_12,1.9694817344191717,2.8492516934250287,0.20744209194095148,0.4420643525014283
y_pred_24,2.2100233612659657,3.191568837856472,0.22997944182761187,0.29994701454368333
y_pred_36,2.1610049175427375,3.128233064900035,0.22518664120956422,0.32745602829601816
ensemble_simple,2.053791567877791,2.9487119970162903,0.21551822345266022,0.40243219165546873
ensemble_min_max,2.0484639714628914,2.9415893499126256,0.21486088790690344,0.4053155685983788
naive_forecast,0.7601953286929621,1.220305901377113,0.07825446432058461,0.8976565853279824
