model,mae,rmse,mape,r2
y_pred_6,1.6224597237553837,2.450552714341785,0.1740456919142151,0.5872846912996326
y_pred_12,1.4363258628138378,2.3296801654878987,0.15483291322480783,0.6269946298489717
y_pred_24,1.7903065423510858,2.7075621176202698,0.19207242932488713,0.4961754354169635
y_pred_36,1.8639403681983866,2.7951319349072272,0.20186074658861972,0.4630583361026174
ensemble_simple,1.5803292299850906,2.4562495947988974,0.17125725156965632,0.5853635551357013
ensemble_min_max,1.6587207962310049,2.519825958091888,0.17988759820552042,0.5636212729786507
naive_forecast,0.7601953286929621,1.220305901377113,0.07825446432058461,0.8976565853279824
