model,mae,rmse,mape,r2
y_pred_6,2.14044371657478,3.0868682716591107,0.22000867456387407,0.345124604423094
y_pred_12,2.9212409614647283,4.157163827781229,0.3129491151537615,-0.18772735647181227
y_pred_24,2.8233720202361905,4.412873160069129,0.2929585109577552,-0.3383366441623781
y_pred_36,2.7292741904173137,4.171513884934362,0.28829193603063497,-0.19594130860540915
ensemble_simple,1.9230895665575667,2.8530137024790583,0.20618962758557438,0.44059003933886876
ensemble_min_max,1.8823623407951509,2.8171127576809645,0.20050670237567825,0.45458014849393347
naive_forecast,0.7601953286929621,1.220305901377113,0.07825446432058461,0.8976565853279824
